STATE,CITY,DAY,MONTH,HARM_EV,MAN_COLL,TYP_INT,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS,DRUNK_DR
1,0,30,3,12,2,1,0,2,1,0,1,0,0,0,1,1
1,0,30,3,1,0,1,0,2,1,0,1,0,0,0,1,0
1,2052,31,3,12,6,2,0,3,1,0,1,0,0,0,1,0
1,0,31,3,34,0,1,0,1,1,0,1,0,0,0,1,0
1,1730,1,4,10,0,1,0,1,1,0,1,0,0,0,2,1
1,0,1,4,8,0,1,0,1,1,0,1,0,0,0,1,0
1,1780,6,4,12,6,3,0,2,10,0,10,23,0,0,1,0
1,0,6,4,34,0,1,0,1,10,0,10,0,0,0,2,0
1,0,6,4,35,0,1,0,3,10,0,10,20,0,0,1,1
1,0,6,4,1,0,1,0,2,1,0,1,0,0,0,1,1
1,0,6,4,32,0,1,0,2,2,0,2,0,0,0,1,0
1,2490,8,4,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,9,4,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,9,4,12,7,1,0,2,1,0,1,0,0,0,1,0
1,350,9,4,8,0,1,0,3,1,0,1,0,0,0,1,0
1,0,10,4,34,0,1,0,1,10,0,10,0,0,0,1,0
1,2100,11,4,1,0,1,0,1,1,0,1,14,0,0,1,0
1,0,12,4,24,0,1,0,1,1,0,1,0,0,0,1,0
1,0,12,4,12,2,1,0,1,1,0,1,0,0,0,2,0
1,9997,13,4,12,1,1,0,3,1,0,1,0,0,0,1,0
1,0,13,4,42,0,1,0,2,1,0,1,0,0,0,1,0
1,0,13,4,12,2,1,0,2,1,0,1,0,0,0,1,0
1,0,14,4,42,0,1,0,2,2,0,2,0,0,0,1,1
1,180,14,4,1,0,1,0,1,10,0,10,0,0,0,1,1
1,0,14,4,42,0,1,0,2,2,0,2,0,0,0,1,0
1,0,14,4,1,0,1,0,2,10,0,10,0,0,0,1,1
1,0,15,4,18,0,1,0,4,2,0,2,0,0,0,1,0
1,0,15,4,18,0,1,0,4,2,0,2,0,0,0,1,0
1,221,16,4,12,6,2,0,1,1,0,1,0,0,0,1,0
1,0,16,4,12,2,1,0,1,10,0,10,0,0,0,1,0
1,0,16,4,32,0,1,0,2,1,0,1,0,0,0,1,0
1,2368,16,4,12,6,1,0,3,1,0,1,0,0,0,1,1
1,1200,19,4,38,0,1,0,1,1,0,1,0,0,0,1,0
1,0,20,4,34,0,1,0,1,1,0,1,0,0,0,1,0
1,0,21,4,24,0,1,0,2,1,0,1,0,0,0,1,1
1,0,22,4,12,2,1,0,1,2,0,2,0,0,0,1,0
1,650,22,4,12,6,1,0,1,2,0,2,0,0,0,1,0
1,550,17,2,12,6,2,0,1,1,0,1,0,0,0,2,0
1,0,29,4,33,0,2,0,3,1,0,1,0,0,0,3,1
1,1460,12,4,12,6,2,0,1,1,0,1,0,0,0,1,0
1,2980,18,4,12,2,1,0,1,1,0,1,0,0,0,1,0
1,1240,20,4,12,6,3,0,1,1,0,1,0,0,0,1,0
1,0,21,4,12,1,1,0,1,1,0,1,0,0,0,1,0
1,0,24,4,32,0,1,0,1,10,0,10,0,0,0,1,1
1,0,24,4,32,0,1,0,1,10,0,10,0,0,0,1,0
1,0,27,4,12,2,1,0,2,1,0,1,0,0,0,2,1
1,2570,27,4,9,0,1,0,2,1,0,1,0,0,0,1,0
1,1630,27,4,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,28,4,34,0,3,0,1,1,0,1,0,0,0,1,1
1,0,29,4,12,6,1,0,2,10,0,10,0,0,0,1,0
1,1880,29,4,19,0,1,0,1,1,0,1,0,0,0,1,0
1,0,29,4,1,0,1,0,5,1,0,1,0,0,0,1,0
1,0,30,4,12,6,2,0,1,1,0,1,0,0,0,1,0
1,0,30,4,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,1,5,34,0,1,0,4,1,0,1,0,0,0,1,0
1,0,2,5,32,0,1,0,3,1,0,1,0,0,0,1,0
1,74,10,5,12,6,2,0,5,1,0,1,0,0,0,1,0
1,0,9,5,12,1,1,0,2,1,0,1,0,0,0,1,1
1,0,6,5,42,0,1,0,1,1,0,1,0,0,0,1,0
1,50,2,5,32,0,1,0,1,1,0,1,0,0,0,1,0
1,2550,2,5,12,7,2,0,1,10,0,10,0,0,0,1,0
1,1730,3,5,30,0,1,0,3,1,0,1,0,0,0,1,1
1,2550,3,5,12,6,2,0,1,10,0,10,0,0,0,1,1
1,1280,4,5,34,0,1,0,1,1,0,1,0,0,0,1,0
1,0,5,5,12,6,2,0,1,2,0,2,0,0,0,1,1
1,1200,6,5,12,6,2,0,3,1,0,1,0,0,0,1,1
1,0,7,5,12,6,1,0,1,1,0,1,0,0,0,1,0
1,1730,7,5,8,0,1,0,2,10,0,10,0,0,0,1,0
1,2100,8,5,12,2,1,0,3,1,0,1,0,0,0,1,0
1,350,12,5,8,0,1,1,3,1,0,1,23,0,0,1,1
1,2100,14,5,1,0,1,0,1,10,0,10,0,0,0,1,0
1,0,23,5,24,0,1,0,1,2,0,2,0,0,0,1,0
1,0,12,5,35,0,1,0,6,1,0,1,0,0,0,1,1
1,0,12,5,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,13,5,1,0,1,0,1,1,0,1,14,0,0,1,0
1,0,15,5,12,6,1,0,1,1,0,1,0,0,0,1,0
1,0,16,5,42,0,1,0,1,2,0,2,0,0,0,1,0
1,3050,16,5,33,0,3,0,5,1,0,1,0,0,0,1,1
1,2100,17,5,18,0,1,0,3,10,0,10,0,0,0,1,1
1,1500,19,5,24,0,1,0,1,1,0,1,0,0,0,1,0
1,0,20,5,12,6,2,0,1,1,0,1,0,0,0,1,0
1,1632,21,5,12,2,2,0,1,1,0,1,0,0,0,1,0
1,350,22,5,12,1,2,0,1,2,0,2,0,0,0,1,0
1,0,22,5,1,0,1,0,1,1,0,1,0,0,0,1,0
1,2130,24,5,12,6,3,0,1,1,0,1,0,0,0,1,1
1,0,25,5,12,1,1,0,1,1,0,1,0,0,0,1,1
1,0,27,1,12,6,3,0,1,2,0,2,0,0,0,1,0
1,0,1,2,32,0,1,0,1,10,0,10,0,0,0,1,0
1,0,21,1,12,2,1,0,2,1,0,1,0,0,0,3,2
1,1590,14,6,12,1,1,0,1,10,0,10,26,0,0,1,0
1,0,6,6,24,0,1,0,1,1,0,1,0,0,0,1,0
1,0,4,6,8,0,1,0,2,1,0,1,0,0,0,1,0
1,0,4,6,35,0,1,1,2,1,0,1,0,0,0,1,1
1,0,3,6,52,0,1,0,2,1,0,1,0,0,0,1,0
1,0,31,5,1,0,1,0,1,1,0,1,0,0,0,1,1
1,0,29,5,34,0,1,0,1,2,0,2,0,0,0,1,0
1,1298,24,4,12,6,1,0,1,1,0,1,0,0,0,1,0
1,2832,26,4,58,0,1,0,2,10,0,10,0,0,0,3,0
1,0,16,5,12,6,2,0,1,1,0,1,0,0,0,2,0
1,0,19,5,30,0,1,0,5,1,0,1,0,0,0,1,0
1,9997,20,5,8,0,1,0,1,10,0,10,0,0,0,1,0
1,0,22,5,59,0,1,0,1,1,0,1,0,0,0,1,1
1,0,23,5,1,0,1,0,1,1,0,1,0,0,0,1,0
1,0,23,5,14,0,1,0,2,10,0,10,0,0,0,1,0
1,1050,23,5,8,0,1,0,1,1,0,1,0,0,0,1,0
1,0,25,5,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,25,5,34,0,1,0,1,10,0,10,0,0,0,1,1
1,0,27,5,42,0,1,0,1,10,0,10,0,0,0,1,0
1,0,27,5,11,0,1,0,2,10,0,10,0,0,0,1,1
1,150,27,5,34,0,1,0,2,2,0,2,0,0,0,2,1
1,1716,28,5,42,0,3,0,2,10,0,10,0,0,0,1,1
1,2330,28,5,33,0,1,0,1,1,0,1,0,0,0,1,0
1,1900,30,5,10,0,1,0,1,1,0,1,0,0,0,2,0
1,0,30,5,12,6,1,0,1,10,0,10,0,0,0,1,0
1,0,30,5,25,0,1,0,1,10,0,10,0,0,0,1,0
1,0,31,5,8,0,1,0,2,1,0,1,0,0,0,1,0
1,0,31,5,1,0,1,0,1,1,0,1,0,0,0,1,0
1,0,31,5,12,1,3,0,1,10,0,10,0,0,0,1,0
1,2570,2,6,35,0,1,0,1,10,0,10,0,0,0,1,0
1,0,3,6,1,0,1,0,2,1,0,1,0,0,0,1,1
1,0,4,6,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,5,6,42,0,1,0,1,1,0,1,0,0,0,1,0
1,0,5,6,12,1,1,0,1,1,0,1,0,0,0,1,0
1,0,6,6,1,0,1,0,1,1,0,1,0,0,0,1,1
1,0,6,6,12,2,1,0,1,1,0,1,0,0,0,2,0
1,1750,7,6,12,6,2,0,1,1,0,1,0,0,0,1,0
